

productTitle,Review Title,Rating,Review Body
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Amazing craftsmanship,5.0 out of 5 stars,"My wife loved the first product which i ordered now this is the second order i placed she liked this alot too , lovely craftsmanship loved it i will surely ordered some more soon."
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",excellent product,5.0 out of 5 stars,I like the product.
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Fantastic Product- perfect for house decor,5.0 out of 5 stars,We are extremely happy with this cute product . Loved the rational attire it has & we are immensely happy to get the surprise gift as well. I intend to buy more proddecor from this brand :-) ucts for my house
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)","So beautiful ,and surprise gift is so sweet with sweet words.",5.0 out of 5 stars,"The media could not be loaded.
                



 Sweet couple"
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",सुन्दर कलाकृति,5.0 out of 5 stars,"किसान डॉल्स खरीद कर संतुष्ट हूँ, सुन्दर कारीगरी का नमूना है, प्रत्येक भारतीय को हमारे देश की पारम्परिक लोक कला को प्रोत्साहन देना चाहिए , ऐसा मेरा मत है अतएव मैंने भी छोटा सा योगदान दिया है , धन्यवाद  जे एच गैलरीअतरिक्त गिफ्ट देने के लिए I"
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Good product,4.0 out of 5 stars,Good product
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Well finished and beautiful hand creation.,5.0 out of 5 stars,Lovely product.  Well packed in gift boxes. The items have a neat finish and are very pleasing to look at.  There is also a cute handwritten thank you note with a really pretty key chain gift.I ordered this item along with another one and both are worth a praise.I would surely order more from this vendors collection.
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Nice asi expected,4.0 out of 5 stars,Very nice Creation
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Loved it!! It is soo beautiful. Also they give a keychain as a gift.,5.0 out of 5 stars,
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Excellent super se uper,5.0 out of 5 stars,Excellent super se uper.Thank you for the cute little doll key chain sent.Amazing product.craftsmanship is super se uper excellent. value for money should support them really i will recommend to all definitely i purchase again for myself also
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Reasonable and beautiful,4.0 out of 5 stars,Very cute figurines. Simple and beautiful
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Too pretty,5.0 out of 5 stars,Too pretty and beautiful. Also thanks for surprise gift🌻
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Good quality with good service,4.0 out of 5 stars,Just loved it so much n also love your gifts thank you jh n your villager friends for this
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)","Lovely product,",4.0 out of 5 stars,Lovely product and proud to purchase same
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Oh well,3.0 out of 5 stars,"I ordered this, excited, being from Rajasthan. But I'm not impressed. It isn't neat workmanship at all."
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Really it's hand made.,4.0 out of 5 stars,It is cute.


productTitle,Review Title,Rating,Review Body
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",very beatifull idol,4.0 out of 5 stars,Very Nice
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Very beautiful,5.0 out of 5 stars,
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",bUddha looked beautiful!,4.0 out of 5 stars,it was a gift for a friend and my friend loved it. it was also pocket friendly gift !
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Meet Expectation Good for price paid,4.0 out of 5 stars,
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Broken item received,5.0 out of 5 stars,Broken item received
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",It's a masterpiece!!!!,5.0 out of 5 stars,Really amazing!!! I must say it's a masterpiece at such an affordable cost. Thank you Amazon for the product. Excellent packaging! Must buy for your loved ones!!!
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Beautiful statue,5.0 out of 5 stars,Nice product and you can go for it
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Lovely one,5.0 out of 5 stars,"Received the exactly same one which is shown in the picture, and its light weight also"
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Nice product liked it very much,5.0 out of 5 stars,Nice product worth for money thankyou Amazon!
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Beautiful.... Even it looks better than the Image. Loved it,4.0 out of 5 stars,
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Beautiful....,5.0 out of 5 stars,Such a Beautiful piece @ reasonable price....  light weight.....packing was good......VALUE FOR MONEY....One can consider as a  gifting option....
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Looking nice,5.0 out of 5 stars,It is looking very beautiful. Value for money. I like it very much
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",OPEN STATEMENT,5.0 out of 5 stars,"The media could not be loaded.
                



 நான் உணர்ந்தது.....இது ஒரு அற்புதமான பொருள் என்று,தைரியமாக இதை வைத்துக் கொள்ளுங்கள்."
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Nice product,5.0 out of 5 stars,"Very very satisfied with product, quality is superb, I bought another one also"
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Good,4.0 out of 5 stars,It doesn't Seattle properly
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Soooo beautiful 👌🙏,5.0 out of 5 stars,Superb 👌👌👌🤩
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Nice product and worth of money,5.0 out of 5 stars,I am use for showpiece for living room nice product worth of money
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Received defective,3.0 out of 5 stars,The Buddha statue does not have left eye brow and it looks quite odd. Hence returned.
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Look wise good,2.0 out of 5 stars,I like it
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Overall not so fair,3.0 out of 5 stars,Buddha statue is very light weight...got free ganpati gift too...but product can be much better for the value paid
productTitle,Review Title,Rating,Review Body
Nirmal Handicraft Golden Color Metal Rajasthani Camel Showpiece Pair Living Room Decorations Gifts 4 Inch 1 PSC,Good,5.0 out of 5 stars,I like the product. It showpiece at home
Nirmal Handicraft Golden Color Metal Rajasthani Camel Showpiece Pair Living Room Decorations Gifts 4 Inch 1 PSC,Superb quality,5.0 out of 5 stars,I liked it very much.
Nirmal Handicraft Golden Color Metal Rajasthani Camel Showpiece Pair Living Room Decorations Gifts 4 Inch 1 PSC,Very small,1.0 out of 5 stars,It was smaller than the picture which was shown



productTitle,Review Title,Rating,Review Body
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Good quality,3.0 out of 5 stars,Received in intact condition. Small size but very good shape sharp features
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Very pretty.,5.0 out of 5 stars,
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Good but Small,3.0 out of 5 stars,Nothing to dislike. Quality is genuine
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Happy,4.0 out of 5 stars,"Loved the product. The parcel was delivered on time and it was evident that the seller took a lot of care in terms of packing (because the item is fragile). The elephants are undoubtedly gorgeous, bright, colourful and the Rajasthani meenakari work is impressive too. However, i still feel the elephants are slightly overpriced (for their size) and wish they were less expensive. Nevertheless, it was a good buy and I am satisfied. Thank you Amazon."
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Value for money,4.0 out of 5 stars,Liked it very much received as shown in image and size is bit small but overall it's ok to buy..
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,One of the legs was broken within the package,1.0 out of 5 stars,"I ordered two sets, 1 set is fine and other one had a broken leg. Unfortunately I could not return because the time period for returning the product was 4 days."
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,.,4.0 out of 5 stars,very small but quality super
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Very small,4.0 out of 5 stars,Cute but very small.
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Very good product,5.0 out of 5 stars,"Very happy and very good product, very nice good looking elephants."
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Ok,4.0 out of 5 stars,Looking nice but very smaller in size
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Good product,4.0 out of 5 stars,Im satisfied with product . not to big in size but served the purpose
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,👌🏻👌🏻😍,5.0 out of 5 stars,Packed very well and very very beautifulI'm satisfied to this product 😍👌🏻👌🏻
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Elegant display,5.0 out of 5 stars,Artistic creation with marble
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Beautiful,5.0 out of 5 stars,"Item as per picture , good Quality"
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Shiny & beautifully designed,5.0 out of 5 stars,"Good product, made with marble, shiny stones mentioned and coloured very beautifully. Seller packed product very perfectly and delivered on time."
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Value For Money,5.0 out of 5 stars,The product was delivered in perfect condition..just as shown in the picture.The color and details looks amazing.Size and weight of the product is also good.overall good purchase👍
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Amazing,5.0 out of 5 stars,Good quality
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Good,3.0 out of 5 stars,Good
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Four Stars,4.0 out of 5 stars,Nice quality but somewhat small in size
Handicrafts Paradise Pair Of Marble Elephant Emboss Painting Hpmr,Great product,5.0 out of 5 stars,Awesome product with great finishing.
productTitle,Review Title,Rating,Review Body
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Good but Size is small,5.0 out of 5 stars,Product is good but Size is very small
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),रिफंड का सामान का पैसा समय पर नहीं मिलता है क्या कारण है,3.0 out of 5 stars,पाठ पूजा करने के लिए किया गया लेकिन उपयोग में नहीं आया
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Good,5.0 out of 5 stars,Nice worth to buy
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Value for money good packing sturdy,5.0 out of 5 stars,Value for money good packing
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),happy with the purchase,4.0 out of 5 stars,its neat
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),No kundan,2.0 out of 5 stars,"It is not as bright as shown, Border has sequins instead of kundans"
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Good product,4.0 out of 5 stars,Good product
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Very very veryvery SMALL,2.0 out of 5 stars,Very very very very very very small
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Good purchase,5.0 out of 5 stars,Really good product  but please look at the dimensions  before purchasing  as it is small. Built quality was good.
Handicrafts Paradise Peacock Design Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm),Small but beautiful,5.0 out of 5 stars,It is a little small but really beautiful.
productTitle,Review Title,Rating,Review Body
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Good decoration item,4.0 out of 5 stars,Very good but little bit improve quality..ok fine in this price
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Petite and sweet,5.0 out of 5 stars,Very creatively made.. petite and cute.
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Nicely packed received as expected n thank u for beautiful complintary too,5.0 out of 5 stars,Value for money n decor tooo
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Amazing products from J.H Gallery,5.0 out of 5 stars,"I have ordered few articles from JH Gallery and I received all my items within 3 days, i was so worried if I'm gonna receive them in time as I stay abroad. But received all the items before hand and very neat packaging and they all look lovely. Totally worth the money. Thank you so much JH"
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Amazing craftsmanship,5.0 out of 5 stars,"My wife loved the first product which i ordered now this is the second order i placed she liked this alot too , lovely craftsmanship loved it i will surely ordered some more soon."
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",excellent product,5.0 out of 5 stars,I like the product.
